id,problem_name,link,difficulty,pattern
81,Minimum Number of Arrows to Burst Balloons,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons,Medium,
82,Insert Interval,https://leetcode.com/problems/insert-interval,Medium,
83,Employee Free Time,https://leetcode.com/problems/employee-free-time,Hard,
84,Binary Search,https://leetcode.com/problems/binary-search,Easy,
85,Find Smallest Letter Greater Than Target,https://leetcode.com/problems/find-smallest-letter-greater-than-target,Easy,
86,Peak Index in a Mountain Array,https://leetcode.com/problems/peak-index-in-a-mountain-array,Medium,
87,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,Medium,
88,Find Peak Element,https://leetcode.com/problems/find-peak-element,Medium,
89,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array,Medium,
90,Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,Medium,
91,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix,Medium,
92,Search a 2D Matrix II,https://leetcode.com/problems/search-a-2d-matrix-ii,Medium,
93,Find K Closest Elements,https://leetcode.com/problems/find-k-closest-elements,Medium,
94,Count of Range Sum,https://leetcode.com/problems/count-of-range-sum,Hard,
95,Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum,Medium,
96,Fruit Into Baskets,https://leetcode.com/problems/fruit-into-baskets,Medium,
97,Permutation in String,https://leetcode.com/problems/permutation-in-string,Medium,
98,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement,Medium,
99,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum,Hard,
100,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,Medium,
101,Minimum Number of K Consecutive Bit Flips,https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips,Hard,
102,Count Unique Characters of All Substrings of a Given String,https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string,Hard,
103,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring,Hard,
104,Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words,Hard,
105,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst,Medium,
106,K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin,Medium,
107,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements,Medium,
108,Sort Characters By Frequency,https://leetcode.com/problems/sort-characters-by-frequency,Medium,
109,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array,Medium,
110,Reorganize String,https://leetcode.com/problems/reorganize-string,Medium,
111,Rearrange String k Distance Apart,https://leetcode.com/problems/rearrange-string-k-distance-apart,Hard,
112,Course Schedule III,https://leetcode.com/problems/course-schedule-iii,Hard,
113,Maximum Frequency Stack,https://leetcode.com/problems/maximum-frequency-stack,Hard,
114,Course Schedule,https://leetcode.com/problems/course-schedule,Medium,
115,Course Schedule II,https://leetcode.com/problems/course-schedule-ii,Medium,
116,Minimum Height Trees,https://leetcode.com/problems/minimum-height-trees,Medium,
117,Alien Dictionary,https://leetcode.com/problems/alien-dictionary,Hard,
118,Sequence Reconstruction,https://leetcode.com/problems/sequence-reconstruction,Medium,
119,Binary Tree Level Order Traversal II,https://leetcode.com/problems/binary-tree-level-order-traversal-ii,Medium,
120,Average of Levels in Binary Tree,https://leetcode.com/problems/average-of-levels-in-binary-tree,Easy,
121,Minimum Depth of Binary Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree,Easy,
122,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal,Medium,
